职位名称,公司名称,职位月薪,工作地点,发布日期
,None,None,None,None
Python程序员,金诚集团,8000-14000,厦门,最新
Java+人工智能开发实习生（Python）,厦门市花泽信息技术有限公司,3500-4800,厦门,最新
IT培训讲师（Python）,中公教育福建分公司,8001-10000,厦门,招聘中
Python开发工程师,北京宇信科技集团股份有限公司,8000-12000,厦门,最新
python开发,北京汉克时代科技有限公司,10001-15000,厦门,招聘中
Python工程师,笨鸟社交,8000-15000,厦门,招聘中
Python 工程师,成都天用唯勤科技股份有限公司厦门分公司,10001-15000,厦门,最新
python开发工程师（急招）,厦门市咕啦电子商务有限责任公司,6000-10000,厦门,最新
python开发工程师,厦门贝游网络科技有限公司,8000-15000,厦门,招聘中
电子海图引擎研发工程师（C++/Python）,新诺北斗航科信息技术(厦门)股份有限公司,8001-10000,厦门-思明区,招聘中
Python开发（实习生）+双休,厦门匹夫有道信息技术有限公司,3000-5000,厦门,招聘中
python和大数据(Java),厦门亚伯锋天科技有限公司,10001-15000,厦门,招聘中
python和大数据(Java),厦门经纬盈创网络科技有限公司,10001-15000,厦门,招聘中
Python高级工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
Python开发工程师-后台,厦门集微科技有限公司,6000-12000,厦门,最近
Python开发工程师,厦门世纪伟业网络科技有限公司,10001-15000,厦门,招聘中
数据挖掘/Python工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
python讲师,厦门布塔信息技术股份有限公司,6001-8000,厦门,最新
Python开发工程师,厦门水滴链动科技有限公司,8000-12000,厦门,招聘中
python工程师,厦门简创网络科技有限公司,4000-8000,厦门-思明区,招聘中
Python策略开发,福建省平潭昕弘资产管理有限公司,15000-30000,厦门,招聘中
Python开发工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门,招聘中
python（厦门）,福建紫光信息技术有限公司,4000-8000,厦门,招聘中
python开发工程师,超音速(厦门)传媒科技有限公司,6001-8000,厦门,最新
Python开发工程师（时间管理系统事业部）,厦门中控智慧信息技术有限公司,4000-7000,厦门-集美区,招聘中
Python开发工程师,厦门中控智慧信息技术有限公司,4001-6000,厦门,最近
python开发工程师,厦门声连网信息科技有限公司,12000-24000,厦门,最近
Python开发工程师,深圳市风云互动网络科技有限公司福州分公司,8000-15000,厦门,招聘中
Python工程师,厦门帝恩思科技股份有限公司,8000-16000,厦门,最新
Python开发工程师,厦门集微科技有限公司,10001-15000,厦门,最近
Python 工程师,厦门铠甲网络股份有限公司,5000-8000,厦门,招聘中
Python / Odoo 开发工程师,厦门智士软件科技有限公司,8000-16000,厦门,招聘中
python研发工程师,厦门旗都贸易有限公司,4000-8000,厦门,最新
python,范尼(厦门)网络科技有限公司,8000-15000,厦门,招聘中
python数据挖掘工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
python,厦门夕游网络科技有限公司,5000-10000,厦门,招聘中
Python工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门-湖里区,招聘中
爬虫工程师/Python/Java,厦门市秦商信息科技有限公司,10001-15000,厦门,最近
python工程师,钛链智云(厦门)信息科技有限公司,8000-12000,厦门,招聘中
python 工程师,厦门今立方科技有限公司,7000-14000,厦门,招聘中
python工程师,厦门必本区块链有限公司,8000-15000,厦门,招聘中
UI设计师+人工智能助理,北京百知教育科技有限公司,7500-13000,厦门,最新
深度学习工程师,厦门市美亚柏科信息股份有限公司,10001-15000,厦门-思明区,最新
嵌入式软件开发工程师,厦门市美亚柏科信息股份有限公司,10001-15000,厦门,最新
前端开发工程师—高级,上德(珠海)数据科技有限公司,8000-16000,厦门,最新
前端开发工程师,环球商付(厦门)科技有限公司,7000-12000,厦门,最新
大数据分析师,厦门傲珂尼电子科技有限公司,5000-10000,厦门,最新
图像算法工程师,北博(厦门)智能科技有限公司,10000-20000,厦门,最新
PHP 开发工程师—高级[厦门],上德(珠海)数据科技有限公司,8000-16000,厦门,最新
嵌入式驱动工程师,厦门麦克玛视电子信息技术有限公司,6001-8000,厦门,最新
技术总监,厦门众库科技有限公司,20000-35000,厦门,最新
人工智能平台应用开发工程师,厦门市美亚柏科信息股份有限公司,15001-20000,厦门,最新
大数据开发工程师(002517),金诚集团,15001-20000,厦门,最新
软件自动化测试,厦门市美亚柏科信息股份有限公司,7000-12000,厦门,最新
大数据架构师(002515),金诚集团,20001-30000,厦门,最新
云平台开发工程师,金诚集团,10000-15000,厦门,最新
运维开发工程师,金诚集团,8000-15000,厦门,最新
技术管理工程师,厦门市美亚柏科信息股份有限公司,1000元以下,厦门,最新
全栈开发工程师,厦门厦科云海信息技术有限公司,6001-8000,厦门,最新
大数据高级开发工程师,厦门市美亚柏科信息股份有限公司,10000-20000,厦门,最新
,None,None,None,None
算法工程师,厦门厦科云海信息技术有限公司,6001-8000,厦门,最新
算法工程师,xmcx2018,面议,厦门,最新
计算机视觉工程师,xmcx2018,面议,厦门,最新
C/C++开发实习生,xmcx2018,面议,厦门,最新
测试开发实习生,xmcx2018,面议,厦门,最新
软件实施工程师留用实习生,北京百知教育科技有限公司,7200-12000,厦门,最新
大数据+人工智能开发定岗实习生,北京百知教育科技有限公司,7200-13000,厦门,最新
安全大数据分析专员,厦门市美亚柏科信息股份有限公司,8000-15000,厦门,招聘中
ETL/BI/数据分析工程师（长亮数据）,深圳市长亮科技股份有限公司,8000-16000,厦门,招聘中
IT培训讲师（Linux）,中公教育福建分公司,8001-10000,厦门,招聘中
测试工程师,上海怡科信息科技有限公司,5500-8000,厦门,招聘中
推荐算法工程师（厦门）,笨鸟社交,20000-40000,厦门,招聘中
高级算法工程师,北明软件,25000-35000,厦门,招聘中
测试工程师,上海怡胜信息科技有限公司,5500-8000,厦门,招聘中
高级C++研发工程师,厦门市美亚柏科信息股份有限公司,8000-16000,厦门,招聘中
搜索算法工程师（厦门）,笨鸟社交,20000-40000,厦门,招聘中
数据分析专员,厦门科易网科技有限公司,4001-6000,厦门,最近
安全技术专家,北京网宿科技有限公司,10000-20000,厦门,招聘中
数据分析师,厦门链家宝业房地产经纪有限公司,6001-8000,厦门,招聘中
软件测试工程师（白盒测试）,厦门雅迅网络股份有限公司,5000-10000,厦门,招聘中
C/C++软件开发工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
linux应用开发工程师（信息安全方向）,厦门雅迅网络股份有限公司,6000-12000,厦门,招聘中
运维工程师,厦门真有趣信息科技有限公司,6001-8000,厦门,招聘中
测试开发工程师,北京网宿科技有限公司,8000-12000,厦门,招聘中
自然语言处理工程师（厦门）,笨鸟社交,25000-45000,厦门,招聘中
AI 人工智能定岗生,北京润斯顿教育科技有限公司,8001-10000,厦门,最新
高级运维/运维开发工程师,厦门亿联网络技术股份有限公司,15000-25000,厦门,招聘中
高级运维工程师,厦门真有趣信息科技有限公司,8000-16000,厦门-思明区,招聘中
前端架构师,美团点评,20001-30000,厦门,招聘中
C/C++开发工程师,北京网宿科技有限公司,8000-15000,厦门,招聘中
高级工程效率开发,美团点评,15000-30000,厦门,最近
高级算法,美团点评,15000-30000,厦门,最近
Java软件开发工程师（分布式）,北京网宿科技有限公司,7000-13000,厦门,招聘中
乐高机器人老师,北京永同昌房地产开发集团有限公司,5000-7000,厦门-湖里区,招聘中
安全工程师,中国联合网络通信有限公司福建省分公司（中国联通）,6001-8000,厦门,招聘中
java开发程序员工程师服务端PHP,泉州俩肥猫网络科技有限公司,10001-15000,厦门,招聘中
测试工程师（数据库）,北京网宿科技有限公司,7000-13000,厦门,招聘中
软件测试工程师（厦门）,亚信科技(中国)有限公司,8001-10000,厦门-湖里区,招聘中
软件测试工程师,北京网宿科技有限公司,8000-13000,厦门,招聘中
数据分析师,厦门链家宝业房地产经纪有限公司,6001-8000,厦门,招聘中
人工智能算法工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
测试主管,尤塔卡(厦门)网络科技有限公司,10000-15000,厦门,招聘中
高级Java工程师(地点：厦门）,福建福诺移动通信技术有限公司,15001-20000,厦门,招聘中
EBS技术顾问,北京宇信科技集团股份有限公司,8000-16000,厦门,最新
AI技术专家,北京网宿科技有限公司,50000-100000,厦门,招聘中
JAVA开发工程师,厦门道拓科技有限公司,10001-15000,厦门,最近
人工智能平台Web开发工程师,厦门市美亚柏科信息股份有限公司,8000-16000,厦门,招聘中
引擎研发部-高级技术工程师/技术专家-厦门,阿里巴巴集团,1000元以下,厦门,招聘中
ASP.Net开发工程师（核心开发人员）,南京蒙正智库房地产信息咨询有限公司,8000-16000,厦门-集美区,招聘中
数据分析,厦门链家宝业房地产经纪有限公司,4000-7000,厦门,招聘中
NLP工程师,厦门邑通软件科技有限公司,10000-20000,厦门,最新
iOS开发工程师（同步推）,厦门同步网络有限公司,10000-20000,厦门,最新
技术架构师,朗新科技股份有限公司,15000-29999,厦门,招聘中
Java工程师,厦门意外境界文化传播有限公司,7000-14000,厦门-思明区,招聘中
生物信息分析工程师,厦门安捷致善医学数据科技有限公司,5000-7000,厦门-翔安区,招聘中
数据研究院-数据挖掘工程师,笨鸟社交,15000-30000,厦门,招聘中
PHP 开发工程师,厦门市月轮网络科技有限公司,6000-12000,厦门,招聘中
PHP开发工程师,厦门铃盛软件有限公司,15000-25000,厦门,最近
游戏逻辑开发工程师,厦门第二世界网络科技有限公司,6000-10000,厦门,最近
后端开发工程师,根号学苑(厦门)网络科技有限公司,6001-8000,厦门-湖里区,招聘中
,None,None,None,None
测试工程师,厦门万物云联网络科技有限公司,6000-12000,厦门,招聘中
数据分析工程师,碧斯诺兰实业发展有限公司,8000-15000,厦门,招聘中
综合业务专员（五险一金）,亚束(厦门)科技有限公司,6001-8000,厦门,招聘中
证券分析师助理,福州咸鱼科技有限公司,8001-10000,厦门,最新
后端开发工程师,北博(厦门)智能科技有限公司,6000-12000,厦门,招聘中
运维工程师,厦门水滴链动科技有限公司,10001-15000,厦门,招聘中
CRM系统管理/大数据平台管理,厦门和谦行网络科技有限公司,4001-6000,厦门,招聘中
高级运维工程师,乐享宝(厦门)金融信息服务有限公司,8000-12000,厦门,最新
测试经理（紧急）,泉州如意娘婚姻服务有限公司,25000-35000,厦门,招聘中
C++开发,厦门亿联网络技术股份有限公司,20001-30000,厦门-湖里区,招聘中
数据库（DBA）,厦门快商通科技股份有限公司,10001-15000,厦门,招聘中
业务运维工程师,厦门快商通科技股份有限公司,6001-8000,厦门-湖里区,招聘中
高级运维工程师,北京云知声信息技术有限公司,10000-15000,厦门,招聘中
运维经理,厦门铃盛软件有限公司,20000-35000,厦门,最近
运维员工程师,厦门脸博士整形外科门诊部有限公司,5000-9000,厦门,最新
高级c/c++/go工程师,厦门水滴链动科技有限公司,18000-30000,厦门,招聘中
软件实施工程师,苏州伊欧陆系统集成有限公司,6000-12000,厦门,最新
C/C++开发实习生（服务器软件部）,厦门亿联网络技术股份有限公司,2001-4000,厦门,招聘中
DBA数据库工程师,厦门同步网络有限公司,6000-10000,厦门,最新
机器学习,厦门市美亚柏科信息股份有限公司,10000-15000,厦门-思明区,招聘中
前端工程师,厦门睿曾金融信息技术服务有限公司,6000-8000,厦门,招聘中
Web前端高级开发工程师,厦门日华科技股份有限公司,8000-16000,厦门,招聘中
测试开发工程师,厦门铃盛软件有限公司,10000-20000,厦门,最近
测试工程师,厦门快商通科技股份有限公司,4001-6000,厦门,招聘中
语音算法主管,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
测试工程师（WEB平台/云服务器）,厦门立林科技有限公司,4001-6000,厦门,招聘中
手游开发工程师,厦门第二世界网络科技有限公司,6000-10000,厦门,最近
语音算法工程师,厦门快商通科技股份有限公司,10001-15000,厦门-思明区,招聘中
NLP算法工程,厦门快商通科技股份有限公司,15001-20000,厦门-思明区,招聘中
C++工程师（界面）,厦门市般纳文化传媒有限公司,18000-28000,厦门,招聘中
推荐算法工程师\数据挖掘算法工程师,厦门邑通软件科技有限公司,10000-20000,厦门,最新
绑定设置师（厦门）,华强方特(厦门)动漫有限公司,5000-10000,厦门,最新
java开发工程师,厦门立达信绿色照明集团有限公司,15000-30000,厦门,最近
图像识别算法工程师,超趣(厦门)科技有限公司,15001-20000,厦门,招聘中
大数据开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
后端工程师,新诺北斗航科信息技术(厦门)股份有限公司,10000-15000,厦门,招聘中
NLP工程师,厦门渊亭信息科技有限公司,10000-16000,厦门,招聘中
高级测试工程师,乐享宝(厦门)金融信息服务有限公司,8000-12000,厦门,最新
WEB前端开发工程师,北京农信互联科技有限公司,7500-15000,厦门,招聘中
测试开发工程师,四三九九网络股份有限公司,4000-8000,厦门,最近
服务器运维工程师,雅马哈发动机(厦门)信息系统有限公司,4000-8000,厦门,招聘中
信息安全工程师,厦门睿曾金融信息技术服务有限公司,6000-10000,厦门,招聘中
高级生物信息分析工程师,厦门安捷致善医学数据科技有限公司,8000-15000,厦门,招聘中
PHP开发工程师,厦门巴掌互动科技有限公司,10000-12000,厦门,最近
服务端程序员,厦门玩美网络科技有限公司,8000-15000,厦门-思明区,招聘中
php开发工程师,深圳市风云互动网络科技有限公司福州分公司,8000-15000,厦门,招聘中
安全工程师（开发方向）,北京网宿科技有限公司,8000-16000,厦门,招聘中
GIS（地理信息系统）工程师,新诺北斗航科信息技术(厦门)股份有限公司,10001-15000,厦门-思明区,招聘中
嵌入式工程师（语音识别及物联网方向）,厦门华联电子股份有限公司,8000-15000,厦门,最近
前端开发工程师,北京农信互联科技有限公司,6000-10000,厦门-湖里区,招聘中
网络安全工程师,厦门网赢集团有限公司,4001-6000,厦门,招聘中
中级运维工程师,厦门醉品春秋网络科技有限公司,8000-12000,厦门,招聘中
游戏开发工程师,厦门趣百网络科技有限公司,6001-8000,厦门,招聘中
自动化测试工程师,厦门节点信息技术有限公司,10001-15000,厦门,招聘中
数据分析专员（高级）,特步（中国）有限公司,6000-8000,厦门-思明区,招聘中
区块链工程师,厦门三五互联科技股份有限公司,15001-20000,厦门,最新
前端开发工程师,上海甄智信息技术有限公司,8001-10000,厦门,最近
大数据平台开发工程师,北京网宿科技有限公司,15001-20000,厦门,招聘中
高级算法工程师,科技谷(厦门)信息技术有限公司,12000-20000,厦门,招聘中
运维工程师,厦门亿联网络技术股份有限公司,8000-16000,厦门-湖里区,招聘中
,None,None,None,None
Java开发工程师,北京卡洛其咨询有限公司,10001-15000,厦门,招聘中
服务端开发工程师,蓝海(福建)信息科技有限公司,10001-15000,厦门,最新
DBA,厦门又一城网络科技有限公司,10001-15000,厦门,招聘中
机器学习算法工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
图像目标检测算法工程师（IOD）,北京捷通华声科技股份有限公司,15000-30000,厦门,招聘中
